iter	Passed	Remaining
0	149	149463
1	151	75433
2	152	50781
3	154	38366
4	155	30920
5	156	25931
6	157	22371
7	158	19697
8	159	17599
9	160	15915
10	161	14537
11	162	13395
12	163	12437
13	164	11607
14	165	10891
15	166	10252
16	167	9694
17	168	9193
18	169	8747
19	170	8343
20	171	7982
21	172	7649
22	172	7347
23	173	7070
24	174	6814
25	175	6577
26	176	6366
27	177	6168
28	178	5983
29	179	5808
30	180	5644
31	181	5488
32	182	5341
33	183	5202
34	184	5074
35	184	4952
36	185	4837
37	186	4730
38	187	4628
39	188	4530
40	189	4438
41	190	4353
42	191	4269
43	192	4191
44	193	4114
45	194	4039
46	195	3967
47	196	3897
48	197	3833
49	198	3770
50	199	3708
51	200	3650
52	201	3594
53	202	3539
54	203	3488
55	204	3438
56	204	3390
57	206	3346
58	207	3304
59	208	3259
60	208	3216
61	211	3198
62	212	3159
63	213	3121
64	214	3084
65	215	3047
66	216	3013
67	217	2978
68	218	2944
69	219	2911
70	220	2880
71	221	2851
72	222	2821
73	223	2792
74	224	2763
75	224	2735
76	225	2707
77	226	2681
78	227	2655
79	228	2629
80	229	2604
81	230	2582
82	231	2555
83	232	2532
84	233	2510
85	234	2489
86	235	2467
87	236	2448
88	237	2431
89	238	2413
90	239	2393
91	240	2375
92	242	2362
93	243	2347
94	244	2331
95	246	2318
96	247	2301
97	248	2285
98	249	2270
99	250	2258
100	252	2247
101	253	2232
102	254	2219
103	255	2204
104	257	2191
105	258	2178
106	259	2165
107	260	2151
108	261	2140
109	262	2127
110	264	2117
111	265	2106
112	267	2098
113	268	2086
114	269	2074
115	271	2066
116	272	2055
117	273	2045
118	275	2037
119	276	2027
120	277	2016
121	278	2003
122	281	2008
123	282	1999
124	284	1988
125	285	1978
126	285	1965
127	286	1955
128	288	1944
129	288	1933
130	289	1923
131	291	1913
132	292	1904
133	293	1894
134	294	1886
135	295	1879
136	297	1871
137	298	1863
138	299	1857
139	300	1848
140	301	1839
141	302	1828
142	303	1819
143	304	1810
144	305	1802
145	306	1793
146	307	1786
147	310	1786
148	311	1779
149	312	1770
150	313	1764
151	314	1756
152	315	1749
153	317	1741
154	318	1734
155	319	1726
156	320	1719
157	321	1711
158	322	1704
159	323	1698
160	324	1689
161	325	1683
162	327	1679
163	328	1672
164	329	1666
165	330	1660
166	331	1653
167	332	1647
168	333	1640
169	334	1634
170	335	1628
171	336	1622
172	338	1617
173	340	1615
174	341	1610
175	343	1605
176	345	1605
177	346	1601
178	349	1602
179	351	1600
180	352	1596
181	354	1592
182	355	1589
183	357	1585
184	358	1581
185	360	1576
186	361	1572
187	362	1567
188	364	1562
189	365	1557
190	366	1552
191	368	1549
192	369	1545
193	371	1542
194	372	1538
195	373	1533
196	375	1528
197	376	1524
198	377	1519
199	378	1515
200	380	1511
201	383	1513
202	385	1511
203	386	1509
204	388	1506
205	389	1501
206	390	1497
207	392	1495
208	393	1490
209	395	1486
210	397	1487
211	399	1486
212	401	1484
213	403	1481
214	404	1478
215	406	1474
216	408	1472
217	409	1468
218	411	1466
219	413	1464
220	421	1485
221	425	1490
222	427	1487
223	428	1484
224	430	1481
225	431	1478
226	433	1476
227	435	1473
228	436	1469
229	437	1465
230	439	1463
231	440	1459
232	442	1456
233	443	1452
234	445	1449
235	447	1447
236	448	1443
237	449	1439
238	451	1436
239	452	1433
240	454	1431
241	469	1469
242	503	1567
243	519	1609
244	521	1607
245	523	1605
246	526	1603
247	527	1600
248	529	1596
249	531	1594
250	533	1590
251	535	1588
252	537	1586
253	538	1582
254	540	1578
255	541	1573
256	543	1571
257	545	1568
258	546	1564
259	548	1561
260	550	1558
261	554	1562
262	556	1559
263	558	1556
264	559	1552
265	561	1548
266	562	1544
267	563	1539
268	565	1535
269	566	1531
270	568	1527
271	569	1523
272	570	1520
273	572	1516
274	573	1512
275	575	1508
276	576	1504
277	577	1500
278	579	1496
279	580	1492
280	582	1490
281	584	1487
282	585	1484
283	587	1480
284	588	1476
285	589	1472
286	591	1468
287	592	1464
288	593	1460
289	594	1456
290	597	1456
291	599	1454
292	601	1451
293	603	1448
294	604	1444
295	605	1441
296	607	1437
297	608	1433
298	609	1429
299	611	1426
300	614	1426
301	615	1423
302	617	1420
303	618	1416
